country_iso3,country_en,year_hale,hale_years,year_le,life_expectancy_years,gap_years,gap_share_pct
AUS,Australia,2021,70.61,2021,83.1,12.5,15.0
USA,United States,2021,63.91,2021,76.37,12.46,16.3
NZL,New Zealand,2021,69.98,2021,82.2,12.22,14.9
CHE,Switzerland,2021,71.15,2021,83.33,12.18,14.6
FRA,France,2021,70.08,2021,81.92,11.84,14.5
CAN,Canada,2021,69.78,2021,81.58,11.8,14.5
NOR,Norway,2021,71.16,2021,82.88,11.73,14.1
BEL,Belgium,2021,69.79,2021,81.51,11.71,14.4
PRT,Portugal,2021,69.52,2021,81.18,11.66,14.4
ITA,Italy,2021,70.56,2021,82.2,11.63,14.2
IRL,Ireland,2021,70.0,2021,81.6,11.6,14.2
FIN,Finland,2021,69.93,2021,81.53,11.6,14.2
DEU,Germany,2021,68.93,2021,80.49,11.56,14.4
ESP,Spain,2021,71.11,2021,82.66,11.56,14.0
LUX,Luxembourg,2021,71.23,2021,82.78,11.55,13.9
SWE,Sweden,2021,71.12,2021,82.66,11.55,14.0
GBR,United Kingdom,2021,68.64,2021,80.1,11.46,14.3
CHL,Chile,2021,67.65,2021,79.02,11.37,14.4
KOR,"Korea, Rep.",2021,72.45,2021,83.8,11.35,13.5
ISL,Iceland,2021,71.37,2021,82.58,11.21,13.6
AUT,Austria,2021,69.79,2021,80.99,11.2,13.8
KWT,Kuwait,2021,67.78,2021,78.95,11.17,14.1
CYP,Cyprus,2021,70.74,2021,81.91,11.17,13.6
NLD,Netherlands,2021,69.97,2021,81.12,11.16,13.8
LBN,Lebanon,2021,63.22,2021,74.34,11.13,15.0
DNK,Denmark,2021,70.06,2021,81.18,11.13,13.7
MLT,Malta,2021,70.71,2021,81.81,11.1,13.6
PRI,Puerto Rico (US),2021,68.82,2021,79.9,11.08,13.9
JPN,Japan,2021,73.4,2021,84.46,11.07,13.1
SVN,Slovenia,2021,69.36,2021,80.41,11.06,13.8
GRC,Greece,2021,68.55,2021,79.6,11.05,13.9
ARE,United Arab Emirates,2021,67.27,2021,78.31,11.03,14.1
CRI,Costa Rica,2021,67.63,2021,78.63,11.0,14.0
ISR,Israel,2021,70.76,2021,81.74,10.99,13.4
SAU,Saudi Arabia,2021,65.64,2021,76.43,10.78,14.1
